raw_symbol,instrument_id,date
NVDA,11667,2024-10-02
NVDA,11667,2024-10-03
NVDA,11667,2024-10-04
NVDA,11667,2024-10-05
NVDA,11667,2024-10-06
NVDA,11667,2024-10-07
NVDA,11667,2024-10-08
NVDA,11667,2024-10-09
NVDA,11667,2024-10-10
NVDA,11667,2024-10-11
NVDA,11667,2024-10-12
NVDA,11667,2024-10-13
NVDA,11667,2024-10-14
NVDA,11667,2024-10-15
NVDA,11667,2024-10-16
NVDA,11667,2024-10-17
NVDA,11667,2024-10-18
NVDA,11667,2024-10-19
NVDA,11667,2024-10-20
NVDA,11667,2024-10-21
NVDA,11667,2024-10-22
NVDA,11667,2024-10-23
NVDA,11667,2024-10-24
NVDA,11667,2024-10-25
NVDA,11667,2024-10-26
NVDA,11667,2024-10-27
NVDA,11667,2024-10-28
NVDA,11667,2024-10-29
NVDA,11667,2024-10-30
NVDA,11667,2024-10-31
NVDA,11667,2024-11-01
